#{"t_start": 1684228389.0110462, "env_id": "ur5e-v0"}
r,l,t
-6.679002,11,605.791294
-11.87527,3,607.034502
-6.696884,11,611.300902
-7.951283,1,611.645839
-12.481959,13,616.780566
-22.213523,18,621.131032
-17.519902,15,626.998627
-8.02902,1,627.219504
-8.02719,1,627.436495
-8.047721,1,627.66776
-7.983527,1,627.889868
-7.845898,1,628.109199
-8.030507,1,628.324894
-7.950134,1,628.547273
-8.057341,1,628.771126
-8.014316,1,629.043812
-5.208998,1,629.312742
-17.604513,14,634.690929
-14.308627,14,640.539486
-11.62551,12,645.321771
-7.970143,1,645.563541
-14.010495,4,646.361826
-8.020981,1,646.571697
-8.00404,1,646.797434
-10.016855,2,647.255715
-7.976919,1,647.480084
-11.026218,1,647.712757
-13.997786,4,648.460321
-12.004088,3,649.087912
-8.004852,1,649.314478
-8.009044,1,649.610675
-11.000136,1,649.838839
-12.979027,12,652.288181
-22.73446,10,657.209145
-10.507533,13,661.770192
-7.935496,12,664.391715
-11.030431,1,664.656532
-11.013117,1,664.914997
-8.000326,1,665.170975
-7.997688,1,665.417515
-13.007756,2,665.844573
-8.009552,1,666.088987
-16.709392,13,669.345238
-7.99509,1,669.595715
-8.986652,5,670.69923
-10.97183,1,670.926939
-8.002396,1,671.344079
-10.996591,1,671.63291
-11.030802,1,671.894614
-10.982642,1,672.232332
-12.994992,2,672.77493
-11.977859,13,675.654247
-7.986672,1,676.047378
-8.080597,2,676.502361
-5.054962,1,676.720554
-7.892138,1,676.931237
-6.891069,2,677.305176
-8.166308,1,677.507926
-8.212949,1,677.721327
-7.702484,1,677.938606
-8.062225,1,678.160682
-8.50965,1,678.371875
-5.274829,1,678.632423
-8.242644,1,678.901019
-4.797308,1,679.154411
-6.938114,2,679.532627
-5.205343,1,679.733621
-4.811014,11,683.401234
-8.378578,14,688.875757
-13.449593,14,694.714661
-9.719755,11,697.320998
-8.05593,1,697.515252
-4.949772,1,697.785051
-8.202821,1,697.988132
-10.097967,2,698.35829
-6.015209,1,698.565828
-4.542359,11,702.648942
-2.748281,13,707.323477
-9.954521,2,707.782268
-7.99854,1,707.984622
-7.990368,1,708.186261
-12.003945,3,708.727039
-9.999097,2,709.125649
-10.995164,1,709.32369
-10.978775,1,709.582045
-30.512448,26,717.082541
-2.692309,10,721.354652
-7.529899,12,726.002131
-11.496095,14,731.542307
-4.747607,10,736.03932
-10.087192,2,736.449208
-5.026863,1,736.726182
-8.917468,3,737.243922
-4.937892,1,737.462223
-3.190648,1,737.673853
-12.366975,17,743.870754
-10.302135,15,750.20532
-8.851018,11,754.507759
-8.140446,1,754.734849
-9.227194,3,755.322201
-5.218367,1,755.538572
